sampling_site,location,date_year,mass_g
Sidney Island,island,2021,26
Sidney Island,island,2021,24
Sidney Island,island,2021,21.5
Sidney Island,island,2021,23
Sidney Island,island,2021,22
Sidney Island,island,2021,21
Sidney Island,island,2021,22
Sidney Island,island,2021,20
Sidney Island,island,2021,28
Sidney Island,island,2021,25
Sidney Island,island,2021,23.5
Sidney Island,island,2021,23
Sidney Island,island,2021,30
Sidney Island,island,2021,21.5
Sidney Island,island,2021,24
Sidney Island,island,2021,23
Sidney Island,island,2021,25
Sidney Island,island,2021,22
Sidney Island,island,2021,24
Sidney Island,island,2021,28
Sidney Island,island,2021,24
Sidney Island,island,2021,26.5
Sidney Island,island,2021,22
Sidney Island,island,2021,25
Sidney Island,island,2021,24.5
Sidney Island,island,2021,20
Sidney Island,island,2021,27
Sidney Island,island,2021,20
Sidney Island,island,2021,22.5
Sidney Island,island,2021,NA
Sidney Island,island,2021,21
Sidney Island,island,2021,27
Sidney Island,island,2021,20.5
Sidney Island,island,2021,17
Vancouver,mainland,2022,18
Vancouver,mainland,2022,20
Vancouver,mainland,2022,21
Vancouver,mainland,2022,21
Vancouver,mainland,2022,18
Vancouver,mainland,2022,20
Vancouver,mainland,2022,21
Vancouver,mainland,2022,21
Vancouver,mainland,2022,19
Vancouver,mainland,2022,19
Vancouver,mainland,2022,18
Vancouver,mainland,2022,20.6
Vancouver,mainland,2021,18
Vancouver,mainland,2021,17.5
Vancouver,mainland,2021,20.5
Vancouver,mainland,2021,20
Vancouver,mainland,2021,19
Vancouver,mainland,2021,18.5
Vancouver,mainland,2021,22
Vancouver,mainland,2021,19
Vancouver,mainland,2021,21.5
Vancouver,mainland,2021,23
Vancouver,mainland,2021,22.5
Vancouver,mainland,2021,23
Vancouver,mainland,2021,24
Vancouver,mainland,2021,19.5
Vancouver,mainland,2021,20
Vancouver,mainland,2021,20.5