treat,patch,quad,algae
control,1,1,0
control,1,2,0
control,1,3,0
control,1,4,6
control,1,5,2
control,2,1,0
control,2,2,0
control,2,3,0
control,2,4,0
control,2,5,0
control,3,1,0
control,3,2,0
control,3,3,0
control,3,4,4
control,3,5,1
control,4,1,0
control,4,2,0
control,4,3,0
control,4,4,13
control,4,5,0
dens_33,5,1,23
dens_33,5,2,17
dens_33,5,3,0
dens_33,5,4,56
dens_33,5,5,46
dens_33,6,1,0
dens_33,6,2,79
dens_33,6,3,32
dens_33,6,4,51
dens_33,6,5,22
dens_33,7,1,5
dens_33,7,2,0
dens_33,7,3,0
dens_33,7,4,0
dens_33,7,5,0
dens_33,8,1,0
dens_33,8,2,56
dens_33,8,3,3
dens_33,8,4,0
dens_33,8,5,41
dens_66,9,1,0
dens_66,9,2,5
dens_66,9,3,8
dens_66,9,4,0
dens_66,9,5,0
dens_66,10,1,0
dens_66,10,2,0
dens_66,10,3,0
dens_66,10,4,0
dens_66,10,5,0
dens_66,11,1,43
dens_66,11,2,8
dens_66,11,3,69
dens_66,11,4,29
dens_66,11,5,39
dens_66,12,1,40
dens_66,12,2,63
dens_66,12,3,0
dens_66,12,4,71
dens_66,12,5,5
removal,13,1,46
removal,13,2,44
removal,13,3,41
removal,13,4,29
removal,13,5,11
removal,14,1,65
removal,14,2,55
removal,14,3,61
removal,14,4,74
removal,14,5,55
removal,15,1,0
removal,15,2,5
removal,15,3,0
removal,15,4,0
removal,15,5,6
removal,16,1,30
removal,16,2,82
removal,16,3,70
removal,16,4,27
removal,16,5,83