date,group,n_s,wind,tree_no,length_mm
3/20/25,cephalopods,n,lee,1,20
3/20/25,cephalopods,n,lee,1,21
3/20/25,cephalopods,n,lee,1,23
3/20/25,cephalopods,n,lee,1,25
3/20/25,cephalopods,n,lee,1,21
3/20/25,cephalopods,n,lee,1,16
3/20/25,cephalopods,s,wind,1,15
3/20/25,cephalopods,s,wind,1,16
3/20/25,cephalopods,s,wind,1,14
3/20/25,cephalopods,s,wind,1,17
3/20/25,cephalopods,s,wind,1,13
3/20/25,cephalopods,s,wind,1,15
3/20/25,salmon,n,lee,2,19
3/20/25,salmon,n,lee,2,18
3/20/25,salmon,n,lee,2,20
3/20/25,salmon,n,lee,2,23
3/20/25,salmon,n,lee,2,21
3/20/25,salmon,n,lee,2,18
3/20/25,salmon,s,wind,2,12
3/20/25,salmon,s,wind,2,13
3/20/25,salmon,s,wind,2,14
3/20/25,salmon,s,wind,2,12
3/20/25,salmon,s,wind,2,12
3/20/25,salmon,s,wind,2,14
3/20/25,crayfish,n,lee,3,20
3/20/25,crayfish,n,lee,3,21
3/20/25,crayfish,n,lee,3,23
3/20/25,crayfish,n,lee,3,25
3/20/25,crayfish,n,lee,3,21
3/20/25,crayfish,n,lee,3,16
3/20/25,crayfish,s,wind,3,15
3/20/25,crayfish,s,wind,3,16
3/20/25,crayfish,s,wind,3,14
3/20/25,crayfish,s,wind,3,17
3/20/25,crayfish,s,wind,3,13
3/20/25,crayfish,s,wind,3,15
3/20/25,snail,n,lee,4,19
3/20/25,snail,n,lee,4,18
3/20/25,snail,n,lee,4,20
3/20/25,snail,n,lee,4,23
3/20/25,snail,n,lee,4,21
3/20/25,snail,n,lee,4,18
3/20/25,snail,s,wind,4,17
3/20/25,snail,s,wind,4,16
3/20/25,snail,s,wind,4,19
3/20/25,snail,s,wind,4,18
3/20/25,snail,s,wind,4,15
3/20/25,snail,s,wind,4,16