year,season,lakename,lakecountry,tp_ugl,phytobiomass_mgl
2015,winter,Barrs,USA,5.18,30.68
2015,winter,Briars,USA,3.4,84.08
2011,winter,Bride Lake,USA,12.15,434.24
2015,winter,Burntside,USA,1.65,22.72
2011,winter,Dodge Pond,USA,10.1,100.12
2015,winter,La Salle ,USA,2.48,28.74
2012,winter,Lake Kilpis,Finland,1.2,0.53
2014,winter,Lake Peipsi,Estonia,17.2,886
2008,winter,Lake Santo Parmense,Italy,0.8,319.96
1992,winter,Lake Valkea-Kotinen,Finland,15.2,510.7
2013,winter,Lake Vortsjarv,Estonia,46.7,284.76
2011,winter,Linsley Pond,USA,3.18,49.53
2015,winter,Mille Lacs,USA,2.4,11.18
2015,winter,Nels,USA,3.02,10.97
2011,winter,Pattagansett Lake,USA,0.94,101.51
2012,winter,Penalara Lake,Spain,3.86,0.07
2015,winter,Pike,USA,1.1,18.7
2008,winter,Pony Lake,USA,244.89,471.54
2015,winter,Portsmouth,USA,0.36,4.9
2011,winter,Quonnipaug Lake,USA,6.81,167.91
2011,winter,Rogers Lake,USA,3.72,59.4
2008,winter,Saanajarvi,Finland,0.59,2.73
2012,winter,Scharmuetzelsee,Germany,8.39,98.24
2012,winter,Simoncouche,Canada,1.67,288
2015,winter,Superior,USA,0.43,4.91
2008,winter,West Long Lake,USA,26,173.1
2015,summer,Barrs,USA,0.45,28.88
2015,summer,Briars,USA,3.14,3.02
2011,summer,Bride Lake,USA,9.52,48.89
2015,summer,Burntside,USA,0.55,5.2
2011,summer,Dodge Pond,USA,9.33,92.5
2012,summer,Lake Kilpis,Finland,2,0.13
2014,summer,Lake Peipsi,Estonia,6.63,49
2008,summer,Lake Santo Parmense,Italy,0.87,23.32
1992,summer,Lake Valkea-Kotinen,Finland,4.1,35.6
2013,summer,Lake Vortsjarv,Estonia,1.9,18.72
2015,summer,LaSalle,USA,2.35,0.73
2011,summer,Linsley Pond,USA,1.11,7.55
2015,summer,Mille Lacs,USA,0.91,11.12
2015,summer,Nels ,USA,1,2.96
2011,summer,Pattagansett Lake,USA,3.59,36.44
2013,summer,Penalara Lake,Spain,2.65,0.07
2015,summer,Pike,USA,0.5,6.47
2008,summer,Pony Lake,USA,17.67,661.08
2015,summer,Portsmouth,USA,0.4,4.04
2011,summer,Quonnipaug Lake,USA,6.07,45.27
2011,summer,Rogers Lake,USA,2.2,25.87
2007,summer,Saanajarvi,Finland,0.11,0.58
2012,summer,Scharmuetzelsee,Germany,13.28,52.75
2012,summer,Simoncouche,Canada,0.36,83.92
2015,summer,Superior,USA,0.95,0.51
2008,summer,West Long Lake,USA,2.53,119.91