year,season,lakename,lakecountry,log_tp_ugl_winter,log_phytobiomass_mgl_winter,log_tp_ugl_summer,log_phytobiomass_mgl_summer
2015,winter,Barrs,USA,5.18,30.68,0.45,28.88
2015,winter,Briars,USA,3.4,84.08,3.14,3.02
2011,winter,Bride Lake,USA,12.15,434.24,9.52,48.89
2015,winter,Burntside,USA,1.65,22.72,0.55,5.2
2011,winter,Dodge Pond,USA,10.1,100.12,9.33,92.5
2015,winter,La Salle ,USA,2.48,28.74,2,0.13
2012,winter,Lake Kilpis,Finland,1.2,0.53,6.63,49
2014,winter,Lake Peipsi,Estonia,17.2,886,0.87,23.32
2008,winter,Lake Santo Parmense,Italy,0.8,319.96,4.1,35.6
1992,winter,Lake Valkea-Kotinen,Finland,15.2,510.7,1.9,18.72
2013,winter,Lake Vortsjarv,Estonia,46.7,284.76,2.35,0.73
2011,winter,Linsley Pond,USA,3.18,49.53,1.11,7.55
2015,winter,Mille Lacs,USA,2.4,11.18,0.91,11.12
2015,winter,Nels,USA,3.02,10.97,1,2.96
2011,winter,Pattagansett Lake,USA,0.94,101.51,3.59,36.44
2012,winter,Penalara Lake,Spain,3.86,0.07,2.65,0.07
2015,winter,Pike,USA,1.1,18.7,0.5,6.47
2008,winter,Pony Lake,USA,244.89,471.54,17.67,661.08
2015,winter,Portsmouth,USA,0.36,4.9,0.4,4.04
2011,winter,Quonnipaug Lake,USA,6.81,167.91,6.07,45.27
2011,winter,Rogers Lake,USA,3.72,59.4,2.2,25.87
2008,winter,Saanajarvi,Finland,0.59,2.73,0.11,0.58
2012,winter,Scharmuetzelsee,Germany,8.39,98.24,13.28,52.75
2012,winter,Simoncouche,Canada,1.67,288,0.36,83.92
2015,winter,Superior,USA,0.43,4.91,0.95,0.51
2008,winter,West Long Lake,USA,26,173.1,2.53,119.91